Melisja,Hovman,Melissa,Hoffman,0.07,,,,,,,
Sara,Beam,Sarah,Beam,0.09,,,,,,,
Doradi,Goltman,Dorathy,Goldman,0.69,,,,,,,
Dorodi,Sdanck,Dorothy,Stang,0.82,,,,,,,
Mixel,Mejstenjyr,Michelle,Messenger,0.76,,,,,,,
Manuel,Waack,Manuel,Wark,0.93,,,,,,,
Kened,Guk,Kenneth,Gooch,0.69,,,,,,,
Marya,Kelly,Maria,Kelley,0.63,,,,,,,
Yun,Wiliamj,Yun,Williams,0.67,,,,,,,
Aaron,Hayns,Aaron,Haynes,0.68,,,,,,,
Kadlin,Sapo,Kathleen,Sabo,0.73,,,,,,,
Kelfin,Brant,Kelvin,Brand,0.56,,,,,,,
Brian,Tompson,Bryan,Thompson,0.72,,,,,,,
Rosali,Claahk,Rosalie,Clark,0.66,,,,,,,
Cuckk,Muahpi,Chuck,Murphy,0.83,,,,,,,
Jon,Hendeazon,John,Henderson,0.04,,,,,,,
Trikia,Paahhham,Tricia,Parham,0.65,,,,,,,
Pilip,Gipbs,Philip,Gibbs,0.98,,,,,,,
Cekkil,Cheatam,Cecil,Cheatham,0.08,,,,,,,
Rudi,Maahzhal,Ruthie,Marshall,0.71,,,,,,,
Heater,Mckcrimon,Heather,Mccrimmon,0.71,,,,,,,
Jilian,Daro,Jillian,Darrow,0.03,,,,,,,
Almeta,Mozli,Almeda,Mosley,0.89,,,,,,,
Sdeven,Teyada,Steven,Tejada,0.85,,,,,,,
Aracckeli,Madews,Araceli,Matthews,0.77,,,,,,,
Julya,Azton,Julia,Ashton,0.85,,,,,,,
Gaarie,Pucckkett,Garry,Puckett,0.66,,,,,,,
Tod,Hikkks,Todd,Hicks,0.52,,,,,,,
Maahkoj,Biaht,Marcos,Byrd,0.78,,,,,,,
Kened,Hopkinjt,Kenneth,Hopkins,0.014728922,,,,,,,
Crisdofer,Jonez,Christopher,Jones,0.51,,,,,,,
Ericck,Morisd,Eric,Morris,0.6,,,,,,,
Carol,Lo,Carol,Lowe,0.51,,,,,,,
Skot,Anterson,Scott,Anderson,0.93,,,,,,,
Loarain,Golt,Lorraine,Gault,0.73,,,,,,,
Bryan,Morin,Brian,Morin,0.59,,,,,,,
Thomaj,Niekzon,Thomas,Nixon,0.66,,,,,,,
Ricaaht,Bont,Richard,Bond,0.54,,,,,,,
Kely,Afendano,Kelly,Avendano,0.08,,,,,,,
Jo,Colston,Jo,Colson,0.74,,,,,,,
